transfer_date,manager,player_out,player_in,is_sei,is_d45,is_transfer_window
2026/03/18,Danny,Cristiana Girelli,Evelyn Shores,No,No,No
2026/03/18,Ryne,Aldana Colmetti,Brooklyn Courtnall,No,No,No
2026/03/21,Jackson,Nuria Rabano,Michelle Cooper,No,No,No
2026/03/24,Nancy,Savannah DeMelo,Kiki Van Zanten,No,No,No
2026/03/24,Chris,Elizabeth Ball, Courtney Petersen,No,No,No
2026/03/24,Mariam,Ally Brazier,Lucia DiGuglielmo,No,No,No
2026/03/26,Jackson,Jasmine Aikey,Oihane Hernandez,Yes,No,No
2026/03/17,Brock Wallace,Hina Sugita,Maggie Graham,Yes,No,No
